product_id,name,description_html,price_gross,vat,quantity,category_path,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,image_url_6,image_url_7,image_url_8,image_url_9,image_url_10,param_WeightRange,param_Subcategory,param_PhoneOrderOnly,param_TeethEnabled,param_ToothCost,param_ToothQty,param_MountSystems,param_A,param_B,param_C,param_D,param_Center,param_BrandModel,param_MachineWeight
lyzka-skarpowa-80cm-1-1.5t,Łyżka skarpowa 80cm (1-1.5t),"Łyżka skarpowa 80cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1193.1,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/485e39b413165b02fb5502a205798ca722c60e87-1484x980.webp,,,,,,,,,,,lyzki-skarpowe,false,false,940,4,,,,,,,,
lyzka-kopiaca-30cm-1.5-2.3t,Łyżka kopiąca 30cm (1.5-2.3t),"Łyżka kopiąca 30cm do maszyn 1.5-2.3t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1205.4,23,5,Łyżki kat. 1.5-2.3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/abfd0c0df49aa23d96ccfb824994f6aa21e29e18-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,160,3,,,,,,,,
lyzka-kopiaca-45cm-1.5-2.3t,Łyżka kopiąca 45cm (1.5-2.3t),"Łyżka kopiąca 45cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1377.6,23,5,Łyżki kat. 1.5-2.3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/9c186087bae5c2053bb6da41d1c681dddc82abfb-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,200,4,,,,,,,,
lyzka-skarpowa-130cm-2.3-3t,Łyżka skarpowa 130cm (2.3-3t),"Łyżka skarpowa 130cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2066.4,23,5,Łyżki kat. 2.3-3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/d59355412b88368e18b8eb2b7a503b962d1abac6-1600x756.jpg,,,,,,,,,,,lyzki-skarpowe,false,false,0,0,,,,,,,,
lyzka-kopiaca-25cm-3-5t,Łyżka kopiąca 25cm (3-5t),"Łyżka kopiąca 25cm do maszyn 3-5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1906.5,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/207696739caa408b6d9252e16b3424fbc83d69d8-1230x1320.png,,,,,,,,,,,lyzki-kopiace,false,false,130,2,,,,,,,,
lyzka-kopiaca-35cm-3-5t,Łyżka kopiąca 35cm (3-5t),"Łyżka kopiąca 35cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1992.6,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/7b2ff088993646758ce4d3379bab5affb3e88b7a-1261x1343.png,,,,,,,,,,,lyzki-kopiace,false,false,165,3,,,,,,,,
lyzka-kopiaca-40cm-3-5t,Łyżka kopiąca 40cm (3-5t),"Łyżka kopiąca 40cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2054.1,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/cf7740836cd148802108215c33c541b6b6b66419-1297x1302.png,,,,,,,,,,,lyzki-kopiace,false,false,165,3,,,,,,,,
lyzka-kopiaca-50cm-3-5t,Łyżka kopiąca 50cm (3-5t),"Łyżka kopiąca 50cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2201.7,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/fb823598dc907410bc209f08600dcd64a153e537-1456x1347.png,,,,,,,,,,,lyzki-kopiace,false,false,200,4,,,,,,,,
lyzka-skarpowa-130cm-1.5-2.3t,Łyżka skarpowa 130cm (1.5-2.3t),"Łyżka skarpowa 130cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2066.4,23,5,Łyżki kat. 1.5-2.3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/e761f4bbeb4ef263c35fe303a5c9713d20e044c2-1600x741.jpg,,,,,,,,,,,lyzki-skarpowe,false,false,0,0,,,,,,,,
lyzka-kopiaca-90cm-3-5t,Łyżka kopiąca 90cm (3-5t),"Łyżka kopiąca 90cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2792.1,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/c3a3028b4ca999c80d2aad4bd495166147995355-1503x1221.png,,,,,,,,,,,lyzki-kopiace,false,true,270,5,,,,,,,,
lyzka-kopiaca-23cm-1-1.5t,Łyżka kopiąca 23cm (1-1.5t),"Łyżka kopiąca 23cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",873.3,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/5d137cce7e16cb9170373bd038cdd0bc03a62f4c-1484x1001.webp,,,,,,,,,,,lyzki-kopiace,false,false,120,2,,,,,,,,
lyzka-kopiaca-27cm-1-1.5t,Łyżka kopiąca 27cm (1-1.5t),"Łyżka kopiąca 27cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",910.2,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/8bb49c7fcf1506dabef3a08e6e28a3b4e6255dfe-1484x980.webp,,,,,,,,,,,lyzki-kopiace,false,false,120,3,,,,,,,,
lyzka-skarpowa-90cm-1-1.5t,Łyżka skarpowa 90cm (1-1.5t),"Łyżka skarpowa 90cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1230,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/c7ddbc3eb8d40de75e3fdd974c1b2c09caeda9c7-1484x980.webp,,,,,,,,,,,lyzki-skarpowe,false,false,1350,5,,,,,,,,
lyzka-skarpowa-100cm-1-1.5t,Łyżka skarpowa 100cm (1-1.5t),"Łyżka skarpowa 100cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1279.2,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/2ede9dbf174730473b4df7e47092d41b834ad68c-1484x980.jpg,,,,,,,,,,,lyzki-skarpowe,false,false,1350,5,,,,,,,,
lyzka-kopiaca-40cm-1.5-2.3t,Łyżka kopiąca 40cm (1.5-2.3t),"Łyżka kopiąca 40cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1328.4,23,5,Łyżki kat. 1.5-2.3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/6034065444326fc7fb4008c4187263d81f522cec-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,160,3,,,,,,,,
lyzka-kopiaca-50cm-1.5-2.3t,Łyżka kopiąca 50cm (1.5-2.3t),"Łyżka kopiąca 50cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1426.8,23,5,Łyżki kat. 1.5-2.3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/9c186087bae5c2053bb6da41d1c681dddc82abfb-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,200,4,,,,,,,,
lyzka-kopiaca-60cm-1.5-2.3t,Łyżka kopiąca 60cm (1.5-2.3t),"Łyżka kopiąca 60cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1476,23,5,Łyżki kat. 1.5-2.3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/26a72291f2f69aa02b638e3118a93124b3705307-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,240,5,,,,,,,,
lyzka-kopiaca-30cm-2.3-3t,Łyżka kopiąca 30cm (2.3-3t),"Łyżka kopiąca 30cm do maszyn 2.3-3t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1328.4,23,5,Łyżki kat. 2.3-3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/abfd0c0df49aa23d96ccfb824994f6aa21e29e18-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,160,3,,,,,,,,
lyzka-kopiaca-40cm-2.3-3t,Łyżka kopiąca 40cm (2.3-3t),"Łyżka kopiąca 40cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1340.7,23,5,Łyżki kat. 2.3-3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/6034065444326fc7fb4008c4187263d81f522cec-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,160,3,,,,,,,,
lyzka-kopiaca-50cm-2.3-3t,Łyżka kopiąca 50cm (2.3-3t),"Łyżka kopiąca 50cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1549.8,23,5,Łyżki kat. 2.3-3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/9c186087bae5c2053bb6da41d1c681dddc82abfb-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,200,4,,,,,,,,
lyzka-kopiaca-30cm-3-5t,Łyżka kopiąca 30cm (3-5t),"Łyżka kopiąca 30cm do maszyn 3-5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1955.7,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/7b2ff088993646758ce4d3379bab5affb3e88b7a-1261x1343.png,,,,,,,,,,,lyzki-kopiace,false,false,165,3,,,,,,,,
lyzka-kopiaca-45cm-3-5t,Łyżka kopiąca 45cm (3-5t),"Łyżka kopiąca 45cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2127.9,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/4d2f95d78da7340aa7d6db84324e35ebc19ab0cd-1345x1289.png,,,,,,,,,,,lyzki-kopiace,false,false,165,3,,,,,,,,
lyzka-skarpowa-120cm-3-5t,Łyżka skarpowa 120cm (3-5t),"Łyżka skarpowa 120cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2570.7,23,5,Łyżki kat. 3-5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/356009bed6955d53177c7feda5109e19e06270af-1600x756.jpg,,,,,,,,,,,lyzki-skarpowe,false,false,0,0,,,,,,,,
zrywak-pojedynczy-2-4t,Zrywak pojedynczy 2–4T,"Zrywak do koparki – stal HARDOX HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1722,23,10,Rippery/Zrywaki korzeni,https://cdn.sanity.io/images/3a7q0xhj/production/dc5e9b63df7bbf693e44e9e7a751305327162877-426x586.png,,,,,,,,,,2-4t,,false,false,,,,,,,,,,
lyzka-kopiaca-18cm-1-1.5t,Łyżka kopiąca 18cm (1-1.5t),"Łyżka kopiąca 18cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",836.4,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/5d137cce7e16cb9170373bd038cdd0bc03a62f4c-1484x1001.webp,,,,,,,,,,,lyzki-kopiace,false,false,120,2,,,,,,,,
lyzka-kopiaca-25cm-1-1.5t,Łyżka kopiąca 25cm (1-1.5t),"Łyżka kopiąca 25cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",897.9,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/5d137cce7e16cb9170373bd038cdd0bc03a62f4c-1484x1001.webp,,,,,,,,,,,lyzki-kopiace,false,false,120,2,,,,,,,,
lyzka-kopiaca-30cm-1-1.5t,Łyżka kopiąca 30cm (1-1.5t),"Łyżka kopiąca 30cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",934.8,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/8bb49c7fcf1506dabef3a08e6e28a3b4e6255dfe-1484x980.webp,,,,,,,,,,,lyzki-kopiace,false,false,160,3,,,,,,,,
lyzka-kopiaca-40cm-1-1.5t,Łyżka kopiąca 40cm (1-1.5t),"Łyżka kopiąca 40cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1119.3,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/dc622282c0a2342a16387ac5172cfe021d8f1b86-1484x980.webp,,,,,,,,,,,lyzki-kopiace,false,false,160,3,,,,,,,,
lyzka-kopiaca-50cm-1-1.5t,Łyżka kopiąca 50cm (1-1.5t),"Łyżka kopiąca 50cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1045.5,23,5,Łyżki kat. 1-1.5 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/3f77b572b33dae23d4ccc0d0e8e5c07351e16276-1484x980.webp,,,,,,,,,,,lyzki-kopiace,false,false,200,4,,,,,,,,
lyzka-kopiaca-25cm-1.5-2.3t,Łyżka kopiąca 25cm (1.5-2.3t),"Łyżka kopiąca 25cm do maszyn 1.5-2.3t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1180.8,23,5,Łyżki kat. 1.5-2.3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/eb16beb212005f9f643314c6d9b2d32a91323f7c-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,120,2,,,,,,,,
lyzka-kopiaca-45cm-2.3-3t,Łyżka kopiąca 45cm (2.3-3t),"Łyżka kopiąca 45cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1500.6,23,5,Łyżki kat. 2.3-3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/9c186087bae5c2053bb6da41d1c681dddc82abfb-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,200,4,,,,,,,,
lyzka-kopiaca-60cm-2.3-3t,Łyżka kopiąca 60cm (2.3-3t),"Łyżka kopiąca 60cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1599,23,5,Łyżki kat. 2.3-3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/26a72291f2f69aa02b638e3118a93124b3705307-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,240,5,,,,,,,,
lyzka-kopiaca-80cm-2.3-3t,Łyżka kopiąca 80cm (2.3-3t),"Łyżka kopiąca 80cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1709.7,23,5,Łyżki kat. 2.3-3 Tony,https://cdn.sanity.io/images/3a7q0xhj/production/3af400db642c50626917a1b75d702436217861df-3515x1628.webp,,,,,,,,,,,lyzki-kopiace,false,false,270,6,,,,,,,,
