SKU,Nazwa,Opis,Cena_brutto,VAT,Stan_magazynowy,Kategoria,Marka,Status,Zdjęcie_1,Zdjęcie_2,Zdjęcie_3,Zakres_wagowy,Podkategoria,Zamówienia_telefoniczne
zrywak-pojedynczy-2-4t,Zrywak pojedynczy 2–4T,"Zrywak do koparki – stal HARDOX HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1722,23,10,Rippery/Zrywaki korzeni,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/dc5e9b63df7bbf693e44e9e7a751305327162877-426x586.png,,,2-4t,,Nie
zrywak-pojedynczy-4-8t,Zrywak pojedynczy 4–8T,"Zrywak do koparki – stal HARDOX HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2214,23,10,Rippery/Zrywaki korzeni,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/7fe001415fc96a576adca031afdce7c60050a90a-413x604.png,,,4-8t,,Nie
lyzka-kopiaca-100cm-3-5t,Łyżka kopiąca 100cm (3-5t),"Łyżka kopiąca 100cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2952,23,2,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/c3a3028b4ca999c80d2aad4bd495166147995355-1503x1221.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-18cm-1-1.5t,Łyżka kopiąca 18cm (1-1.5t),"Łyżka kopiąca 18cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",836.4,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/5d137cce7e16cb9170373bd038cdd0bc03a62f4c-1484x1001.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-20cm-1-1.5t,Łyżka kopiąca 20cm (1-1.5t),"Łyżka kopiąca 20cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",861,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/5d137cce7e16cb9170373bd038cdd0bc03a62f4c-1484x1001.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-23cm-1-1.5t,Łyżka kopiąca 23cm (1-1.5t),"Łyżka kopiąca 23cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",873.3,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/5d137cce7e16cb9170373bd038cdd0bc03a62f4c-1484x1001.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-25cm-1-1.5t,Łyżka kopiąca 25cm (1-1.5t),"Łyżka kopiąca 25cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",897.9,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/5d137cce7e16cb9170373bd038cdd0bc03a62f4c-1484x1001.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-25cm-1.5-2.3t,Łyżka kopiąca 25cm (1.5-2.3t),"Łyżka kopiąca 25cm do maszyn 1.5-2.3t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1180.8,23,5,Łyżki kat. 1.5-2.3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/eb16beb212005f9f643314c6d9b2d32a91323f7c-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-25cm-2-3-3t,Łyżka kopiąca 25cm (2.3-3t),"Łyżka kopiąca 25cm do maszyn 2.3-3 t. Lemiesz tnący 150×16mm Hardox HB500. Szybkozłącza MS03/CW05. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1303.8,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/eb16beb212005f9f643314c6d9b2d32a91323f7c-3515x1628.webp,,,2-3t,lyzki-kopiace,Nie
lyzka-kopiaca-25cm-3-5t,Łyżka kopiąca 25cm (3-5t),"Łyżka kopiąca 25cm do maszyn 3-5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1906.5,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/207696739caa408b6d9252e16b3424fbc83d69d8-1230x1320.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-27cm-1-1.5t,Łyżka kopiąca 27cm (1-1.5t),"Łyżka kopiąca 27cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",910.2,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/8bb49c7fcf1506dabef3a08e6e28a3b4e6255dfe-1484x980.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-30cm-1-1.5t,Łyżka kopiąca 30cm (1-1.5t),"Łyżka kopiąca 30cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",934.8,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/8bb49c7fcf1506dabef3a08e6e28a3b4e6255dfe-1484x980.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-30cm-1.5-2.3t,Łyżka kopiąca 30cm (1.5-2.3t),"Łyżka kopiąca 30cm do maszyn 1.5-2.3t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1205.4,23,5,Łyżki kat. 1.5-2.3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/abfd0c0df49aa23d96ccfb824994f6aa21e29e18-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-30cm-2.3-3t,Łyżka kopiąca 30cm (2.3-3t),"Łyżka kopiąca 30cm do maszyn 2.3-3t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1328.4,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/abfd0c0df49aa23d96ccfb824994f6aa21e29e18-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-30cm-3-4-5t,Łyżka kopiąca 30cm (3-4.5t),"Łyżka kopiąca 30cm do maszyn 3-4.5 t. Kod: S3-30.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1955.7,23,2,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/7b2ff088993646758ce4d3379bab5affb3e88b7a-1261x1343.png,,,3-4.5t,lyzki-kopiace,Nie
lyzka-kopiaca-30cm-3-5t,Łyżka kopiąca 30cm (3-5t),"Łyżka kopiąca 30cm do maszyn 3-5t. Lemiesz tnący 110×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1955.7,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/7b2ff088993646758ce4d3379bab5affb3e88b7a-1261x1343.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-35cm-3-5t,Łyżka kopiąca 35cm (3-5t),"Łyżka kopiąca 35cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1992.6,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/7b2ff088993646758ce4d3379bab5affb3e88b7a-1261x1343.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-40cm-1-1.5t,Łyżka kopiąca 40cm (1-1.5t),"Łyżka kopiąca 40cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1119.3,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/dc622282c0a2342a16387ac5172cfe021d8f1b86-1484x980.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-40cm-1.5-2.3t,Łyżka kopiąca 40cm (1.5-2.3t),"Łyżka kopiąca 40cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1328.4,23,5,Łyżki kat. 1.5-2.3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/6034065444326fc7fb4008c4187263d81f522cec-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-40cm-2.3-3t,Łyżka kopiąca 40cm (2.3-3t),"Łyżka kopiąca 40cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1340.7,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/6034065444326fc7fb4008c4187263d81f522cec-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-40cm-3-5t,Łyżka kopiąca 40cm (3-5t),"Łyżka kopiąca 40cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2054.1,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/cf7740836cd148802108215c33c541b6b6b66419-1297x1302.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-45cm-1-1.5t,Łyżka kopiąca 45cm (1-1.5t),"Łyżka kopiąca 45cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1020.9,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/3f77b572b33dae23d4ccc0d0e8e5c07351e16276-1484x980.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-45cm-1.5-2.3t,Łyżka kopiąca 45cm (1.5-2.3t),"Łyżka kopiąca 45cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1377.6,23,5,Łyżki kat. 1.5-2.3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/9c186087bae5c2053bb6da41d1c681dddc82abfb-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-45cm-2.3-3t,Łyżka kopiąca 45cm (2.3-3t),"Łyżka kopiąca 45cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1500.6,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/9c186087bae5c2053bb6da41d1c681dddc82abfb-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-45cm-3-5t,Łyżka kopiąca 45cm (3-5t),"Łyżka kopiąca 45cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2127.9,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/4d2f95d78da7340aa7d6db84324e35ebc19ab0cd-1345x1289.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-50cm-1-1.5t,Łyżka kopiąca 50cm (1-1.5t),"Łyżka kopiąca 50cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1045.5,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/3f77b572b33dae23d4ccc0d0e8e5c07351e16276-1484x980.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-50cm-1.5-2.3t,Łyżka kopiąca 50cm (1.5-2.3t),"Łyżka kopiąca 50cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1426.8,23,5,Łyżki kat. 1.5-2.3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/9c186087bae5c2053bb6da41d1c681dddc82abfb-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-50cm-2.3-3t,Łyżka kopiąca 50cm (2.3-3t),"Łyżka kopiąca 50cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1549.8,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/9c186087bae5c2053bb6da41d1c681dddc82abfb-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-50cm-3-5t,Łyżka kopiąca 50cm (3-5t),"Łyżka kopiąca 50cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2201.7,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/fb823598dc907410bc209f08600dcd64a153e537-1456x1347.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-60cm-1-1.5t,Łyżka kopiąca 60cm (1-1.5t),"Łyżka kopiąca 60cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1107,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/cbcbbf809fab7572abad1248c707eb81228fe59e-1484x980.jpg,,,,lyzki-kopiace,Nie
lyzka-kopiaca-60cm-1.5-2.3t,Łyżka kopiąca 60cm (1.5-2.3t),"Łyżka kopiąca 60cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1476,23,5,Łyżki kat. 1.5-2.3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/26a72291f2f69aa02b638e3118a93124b3705307-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-60cm-2.3-3t,Łyżka kopiąca 60cm (2.3-3t),"Łyżka kopiąca 60cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1599,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/26a72291f2f69aa02b638e3118a93124b3705307-3515x1628.webp,,,,lyzki-kopiace,Nie
